_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes,_tags,_OriginalFile,_OriginalWidth,_OriginalHeight,_OriginalKB
Acrylics,Market En Provence,2016,Acrylic,20,16,SOLD,MarketEnProvenceGail.jpg,,,,MarketEnProvence,MarketEnProvence_thumb.jpg,120,76,,,#provence #france #tables #fruits #fruitstand #lemonade #sunflowers #squash,,,,
Acrylics,On the Other Side,2015,Acrylic,36,24,,OntheOtherSide_hr.jpg,,,,OntheOtherSide,OntheOtherSide_thumb.jpg,120,76,,,,,,,
Acrylics,Aging to Perfection,2014,Acrylic on canvas,24,20,SOLD,AgingToPerfection.jpg,,,,AgingToPerfection,AgingToPerfection_thumb.jpg,,,,,,,,,
Acrylics,Basking in the Sun,2013,Acrylic,36,12,SOLD,BaskingInTheSun.jpg,,,,BaskingInTheSun,BaskingInTheSun_thumb.jpg,,,,,,,,,
Acrylics,Ready to Go,2016,Acrylic,36,24,Private Collection,ReadyToGo.jpg,,,,ReadyToGo,ReadyToGo_thumb.jpg,,,,,,,,,
Acrylics,First Blush,2015,Acrylic,24,20,SOLD,FirstBlush.jpg,,,,FirstBlush,FirstBlush_thumb.jpg,,,,,,,,,
Acrylics,The Grape Vine,2014,Acrylic,30,24,,TheGrapeVine.jpg,,,,TheGrapeVine,TheGrapeVine_thumb.jpg,,,,,,,,,
Acrylics,Seeing Red,2013,Water Soluble Oil,30,40,SOLD,SeeingRed.jpg,,,,SeeingRed,SeeingRed_thumb.jpg,,,,,,,,,
Acrylics,Lost Art,2016,Acrylic,16,20,SOLD,LostArt.jpg,,,,LostArt,LostArt_thumb.jpg,,,,,,,,,
Acrylics,Slice of Heaven,2015,Acrylic,24,36,SOLD,SliceOfHeaven.jpg,,,,SliceOfHeaven,SliceOfHeaven_thumb.jpg,,,,,,,,,
Acrylics,Pause Cafe,2014,Acrylic,24,30,,TempDePause.jpg,,,,PauseCafe,TempDePause_thumb.jpg,,,,,,,,,
Acrylics,Alley Cat,2013,Acrylic,24,48,SOLD,AlleyCat.jpg,,,,AlleyCat,AlleyCat_thumb.jpg,,,,,,,,,
Acrylics,The Wine Stop,2016,Acrylic,24,20,,TheWineStop.jpg,,,,TheWineStop,TheWineStop_thumb.jpg,,,,,,,,,
Acrylics,Some Things Never Change,2015,Acrylic,16,40,,SomeThingsNeverChange.jpg,,,,SomeThingsNeverChange,SomeThingsNeverChange_thumb.jpg,,,,,,,,,
Acrylics,The Gathering,2014,Acrylic,15,30,SOLD,TheGathering.jpg,,,,TheGathering,TheGathering_thumb.jpg,,,,,,,,,
Acrylics,Free Range,2013,Acrylic,20,10,SOLD,FreeRange.jpg,,,,FreeRange,FreeRange_thumb.jpg,,,,,,,,,
