_Category,_CaptionText,_Year,_MediaType,_MediaWidth,_MediaHeight,_Status,_ImageFile,_ImageWidth,_ImageHeight,_ImageKB,_CaptionID,_ThumbFile,_ThumbWidth,_ThumbHeight,_ThumbKB,_Notes
Watercolor,Peering into Fall,2015,Watercolor,30,22,,PeeringIntoFall.jpg,400,514,,PeeringIntoFall,PeeringIntoFall_thumb.jpg,60,80,,
Watercolor,Purple Perfection,2016,Watercolor and pencil,21,13,Private Collection -- Prints Available,PurplePerfection.jpg,400,250,,PurplePerfection,PurplePerfection_thumb.jpg,120,76,,
Watercolor,The Fisherman,2014,Watercolor,18,14,,TheFisherman.jpg,,,,TheFisherman,TheFisherman_thumb.jpg,,,,
Watercolor,When We Were Giants,2013,Watercolor,16,18,,WhenWeWereGiants.jpg,,,,WhenWeWereGiants,WhenWeWereGiants_thumb.jpg,,,,
Watercolor,Downpour,2015,Watercolor,10,6.5,SOLD -- Prints Available,Downpour.jpg,,,,Downpour,Downpour_thumb.jpg,,,,
Watercolor,Seasonal Change,2016,Watercolor,15,11,,SeasonalChange.jpg,,,,SeasonalChange,SeasonalChange_thumb.jpg,,,,
Watercolor,Morning Commute,2014,Watercolor,22.25,15,,MorningCommute.jpg,,,,MorningCommute,MorningCommute_thumb.jpg,,,,
Watercolor,The Perfect Location,2013,Watercolor,24,9.25,,ThePerfectLocation.jpg,,,,ThePerfectLocation,ThePerfectLocation_thumb.jpg,,,,
Watercolor,Maybe Someday,2015,Watercolor,28.5,20.5,,MaybeSomeday2.jpg,,,,MaybeSomeday,MaybeSomeday_thumb.jpg,,,,
Watercolor,Hand Picked,2016,Watercolor,24.25,14.5,,HandPicked.jpg,,,,HandPicked,HandPicked_thumb.jpg,,,,
Watercolor,Understated Elegance,2014,Watercolor,23.75,18,,UnderstatedElegance.jpg,,,,UnderstatedElegance,UnderstatedElegance_thumb.jpg,,,,
Watercolor,Pure Imagination,2013,Watercolor,15,11,Private Collection --,PureImagination.jpg,,,,PureImagination,PureImagination_thumb.jpg,,,,
Watercolor,Down in the Hollar,2015,Watercolor,11,14,SOLD -- Prints Available,DownInTheHollar.jpg,,,,DownInTheHollar,DownInTheHollar_thumb.jpg,,,,
Watercolor,Tucked Away,2016,Watercolor,11,14,,TuckedAway.jpg,,,,TuckedAway,TuckedAway_thumb.jpg,,,,
Watercolor,Beachcomber I,2014,Watercolor,5,7,,BeachcomberI.jpg,,,,BeachcomberI,/BeachcomberI_thumb.jpg,,,,
Watercolor,Beachcomber II,2013,Watercolor,5,7,SOLD -- Prints Available,BeachcomberII.jpg,,,,BeachcomberII,BeachcomberII_thumb.jpg,,,,
Watercolor,Beachcomber III,2015,Watercolor,5,7,,BeachcomberIII.jpg,,,,BeachcomberIII,BeachcomberIII_thumb.jpg,,,,
Watercolor,Beachcomber IV,2016,Watercolor,10,18,,BeachcomberIV.jpg,,,,BeachcomberIV,BeachcomberIV_thumb.jpg,,,,
Watercolor,Captain Coco,2014,Watercolor,14,9.5,SOLD -- Prints Available,CaptainCoco.jpg,,,,CaptainCoco,CaptainCoco_thumb.jpg,,,,
Watercolor,Sundress,2013,Watercolor,2,2.75,SOLD -- Prints Available,Sundress.jpg,,,,Sundress,Sundress_thumb.jpg,,,,
Watercolor,The Encounter (Hopped Up Series 1 of 3),2015,Watercolor and pencil,20,16,SOLD -- Prints Available,TheEncounter.jpg,,,,TheEncounter,TheEncounter_thumb.jpg,,,,
Watercolor,The Leap (Hopped Up Series 2 of 3),2016,Watercolor and pencil,20,16,SOLD -- Prints Available,TheLeap.jpg,,,,TheLeap,TheLeap_thumb.jpg,,,,
Watercolor,The Love (Hopped Up Series 3 of 3),2014,Watercolor and pencil,20,16,SOLD -- Prints Available,TheLove.jpg,,,,TheLove,TheLove_thumb.jpg,,,,
Watercolor,Hot Yoga,2013,Watercolor and pencil,20,16,SOLD -- Prints Available,HotYoga.jpg,,,,HotYoga,HotYoga_thumb_v2.jpg,,,,
Watercolor,Testing a Theory,2015,Watercolor and pencil,20,16,,Testing_a_Theory.jpg,,,,Testing_a_Theory,Testing_a_Theory_thumb_v2.jpg,,,,
Watercolor,Cold Morning,2016,Watercolor and pencil,20,16,,ColdMorning.jpg,,,,ColdMorning,ColdMorning_thumb_v2.jpg,,,,
Watercolor,A Few Good Men,2014,Watercolor and pencil,20,16,SOLD -- Prints Available,aFewGoodMen.jpg,,,,aFewGoodMen,aFewGoodMen_thumb_v2.jpg,,,,
Watercolor,Happy Hour Friday Night,2013,Watercolor and pencil,20,16,SOLD -- Prints Available,HappyHourFridayNight.jpg,,,,HappyHourFridayNight,HappyHourFridayNight_thumb.jpg,,,,
Watercolor,Quality Control,2015,Watercolor and pencil,20,16,SOLD -- Prints Available,QualityControl.jpg,,,,QualityControl,QualityControl_thumb.jpg,,,,
Watercolor,Monday Morning,2016,Watercolor and pencil,20,16,SOLD -- Prints Available,MondayMorning.jpg,,,,MondayMorning,MondayMorning_thumb.jpg,,,,
Watercolor,Love At First Sight,2014,Watercolor and pencil,20,16,,LoveAtFirstSight.jpg,,,,LoveAtFirstSight,LoveAtFirstSight_thumb.jpg,,,,
Watercolor,Botanical I,2013,Watercolor and pencil,8,10,,Botanical1.jpg,,,,Botanical1,Botanical1_thumb.jpg,,,,
Watercolor,Botanical II,2015,Watercolor and pencil,8,10,,Botanical2.jpg,,,,Botanical2,Botanical2_thumb.jpg,,,,
Watercolor,Botanical III,2016,Watercolor and pencil,8,10,,Botanical3.jpg,,,,Botanical3,Botanical3_thumb.jpg,,,,
Watercolor,The Introduction,2014,Watercolor,11,14,Private Collection --,TheIntroduction.jpg,,,,TheIntroduction,TheIntroduction_thumb.jpg,,,,
